FUNCTIONAL  SYSTEM  TRAVEL - 2010  1/,,,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
REVISED DECEMBER 2012,,,,,,,,( MILLIONS ),,,,,,,,,TABLE  VM-2
,RURAL,,,,,,,,URBAN,,,,,,,,
Georgia," 10,007 ", -," 6,282 "," 6,281 "," 5,848 "," 1,530 "," 6,821 "," 36,770 "," 19,088 "," 2,931 "," 12,655 "," 15,436 "," 4,811 ", -," 20,032 "," 74,953 "," 111,722 "
Hawaii, 109 , -, 507 , 646 , 275 , 37 , 851 ," 2,424 "," 1,746 ", 521 ," 1,867 ", 702 , 928 , -," 1,807 "," 7,571 "," 9,995 "
Idaho," 2,204 ", -," 2,201 ", 930 ," 1,431 ", 243 ," 2,222 "," 9,232 "," 1,271 ", -," 2,230 "," 1,531 ", 667 , -, 871 ," 6,570 "," 15,801 "
Illinois," 9,066 ", -," 3,868 "," 4,665 "," 5,026 ", 426 ," 3,777 "," 26,827 "," 23,053 "," 1,213 "," 21,027 "," 15,748 "," 8,279 ", -," 9,641 "," 78,961 "," 105,788 "
Indiana," 7,143 ", -," 4,662 "," 3,501 "," 6,232 "," 1,916 "," 4,907 "," 28,362 "," 9,363 "," 1,339 "," 10,393 "," 8,317 "," 5,053 ", -," 12,933 "," 47,398 "," 75,761 "
Iowa," 4,858 ", -," 5,681 "," 2,552 "," 3,482 ", 877 ," 1,570 "," 19,019 "," 2,592 ", -," 3,630 "," 3,271 ", 963 , -," 1,914 "," 12,370 "," 31,389 "
Kansas," 3,192 ", -," 4,454 "," 2,266 "," 2,725 ", 254 ," 1,677 "," 14,568 "," 3,641 "," 1,765 "," 3,566 "," 2,778 "," 1,177 ", -," 2,404 "," 15,331 "," 29,900 "
Kentucky," 6,875 "," 2,112 "," 5,291 "," 2,775 "," 4,688 "," 2,538 "," 3,473 "," 27,753 "," 6,178 ", 800 ," 6,104 "," 3,216 "," 1,742 ", 1 ," 2,213 "," 20,254 "," 48,007 "
Louisiana," 5,404 ", -," 2,543 "," 2,846 "," 4,088 "," 1,467 "," 2,705 "," 19,052 "," 7,569 ", 572 ," 7,672 "," 6,200 "," 2,801 ", -," 1,572 "," 26,386 "," 45,439 "
Maine," 2,249 ", -," 1,883 "," 1,800 "," 2,277 ", 852 ," 1,424 "," 10,486 ", 838 , 143 , 746 , 947 , 962 , -, 427 ," 4,064 "," 14,549 "
Maryland," 3,555 ", -," 3,477 "," 2,369 "," 1,990 "," 1,237 "," 1,659 "," 14,287 "," 13,485 "," 5,732 "," 10,025 "," 6,200 "," 3,385 ", -," 3,011 "," 41,839 "," 56,126 "
Massachusetts," 1,373 ", 248 , 458 , 559 , 653 , 155 , 691 ," 4,139 "," 15,092 "," 5,573 "," 10,817 "," 8,645 "," 2,666 ", -," 7,430 "," 50,223 "," 54,362 "
Michigan," 5,792 "," 2,880 "," 4,510 "," 7,239 "," 8,152 ", 948 ," 2,402 "," 31,923 "," 15,435 "," 5,271 "," 17,313 "," 15,519 "," 5,363 ", -," 6,744 "," 65,645 "," 97,567 "
Minnesota," 4,108 ", 40 ," 7,284 "," 4,947 "," 4,263 "," 1,343 "," 2,601 "," 24,586 "," 8,260 "," 3,597 "," 4,557 "," 8,569 "," 2,647 ", -," 4,415 "," 32,045 "," 56,632 "
Mississippi," 3,835 ", -," 5,462 "," 3,514 "," 4,267 ", 452 ," 5,915 "," 23,444 "," 3,382 ", 515 ," 5,202 "," 2,313 "," 1,656 ", -," 3,329 "," 16,397 "," 39,841 "
Missouri," 6,329 "," 3,643 "," 4,874 "," 3,601 "," 5,414 ", 685 ," 6,185 "," 30,731 "," 11,642 "," 5,199 "," 6,325 "," 5,263 "," 2,859 ", 3 ," 8,843 "," 40,133 "," 70,864 "
Montana," 2,393 ", -," 2,305 "," 1,182 "," 1,076 ", 386 ," 1,058 "," 8,401 ", 355 , -, 970 , 527 , 262 , -, 674 ," 2,789 "," 11,190 "
Nebraska," 2,624 ", 985 ," 2,327 "," 2,298 "," 1,544 ", 241 ," 1,091 "," 11,110 "," 1,376 ", 843 ," 2,326 "," 2,114 ", 572 , -," 1,096 "," 8,328 "," 19,438 "
Nevada," 1,870 ", 3 ," 1,577 ", 460 , 406 , 155 , 522 ," 4,994 "," 3,481 "," 1,666 "," 2,936 "," 4,485 ", 4 ," 2,053 "," 2,583 "," 17,208 "," 22,201 "
New Hampshire," 1,297 ", 315 ," 1,080 ", 978 ," 1,090 ", 579 , 402 ," 5,742 "," 1,597 ", 963 ," 1,284 "," 1,842 ", 905 , -, 733 ," 7,324 "," 13,065 "
New Jersey," 1,583 ", -," 1,924 ", 771 ," 1,206 ", 299 , 642 ," 6,423 "," 13,513 "," 11,825 "," 16,170 "," 11,083 "," 4,904 ", -," 9,108 "," 66,604 "," 73,028 "
New Mexico," 4,406 ", -," 3,235 "," 1,482 "," 1,331 ", 522 ," 3,353 "," 14,330 "," 2,643 ", -," 4,055 "," 1,620 ", -," 1,057 "," 1,568 "," 10,944 "," 25,274 "
New York," 6,135 "," 1,215 "," 2,624 "," 4,784 "," 4,155 "," 9,399 "," 4,614 "," 32,926 "," 20,317 "," 16,859 "," 18,827 "," 19,652 "," 7,961 ", -," 14,711 "," 98,326 "," 131,252 "
North Carolina," 5,996 ", 101 ," 7,465 "," 5,183 "," 8,722 "," 3,455 "," 9,085 "," 40,007 "," 14,907 "," 5,355 "," 12,611 "," 11,878 "," 5,382 ", 33 ," 12,212 "," 62,378 "," 102,385 "
North Dakota," 1,527 ", -," 1,977 ", 691 , 875 , -, 889 ," 5,959 ", 422 , -, 680 , 571 , 244 , -, 386 ," 2,303 "," 8,262 "
Ohio," 9,137 ", -," 6,596 "," 4,344 "," 8,396 "," 1,954 "," 5,732 "," 36,159 "," 22,652 "," 5,589 "," 12,846 "," 13,203 "," 8,523 ", -," 12,864 "," 75,677 "," 111,836 "
Oklahoma ," 5,143 ", -," 5,074 "," 2,967 "," 5,669 ", 181 ," 2,738 "," 21,773 "," 4,885 "," 2,822 "," 5,776 "," 5,596 "," 1,292 ", -," 5,603 "," 25,973 "," 47,746 "
Oregon," 4,243 ", -," 4,470 "," 2,058 "," 2,048 ", 595 ," 1,515 "," 14,931 "," 4,511 "," 1,335 "," 4,784 "," 3,719 "," 2,278 ", -," 2,216 "," 18,843 "," 33,774 "
Pennsylvania," 10,372 ","1,881"," 4,192 "," 6,986 "," 4,492 "," 1,964 "," 5,847 "," 35,734 "," 13,154 "," 6,303 "," 16,696 "," 12,843 "," 7,990 ", -," 7,609 "," 64,595 "," 100,329 "
Rhode Island, 407 , -, 125 , 132 , 161 , 37 , 23 , 884 ," 1,717 "," 1,248 "," 2,156 "," 1,018 ", 968 , -, 290 ," 7,396 "," 8,280 "
South Carolina," 7,596 ", -," 3,510 "," 4,982 "," 4,970 ", 292 ," 2,332 "," 23,682 "," 6,144 ", 812 ," 7,304 "," 5,590 "," 3,497 ", -," 2,094 "," 25,442 "," 49,124 "
South Dakota," 2,032 ", -," 1,694 "," 1,054 ", 983 , 126 , 470 ," 6,360 ", 627 , 38 , 554 , 795 , 238 , -, 254 ," 2,506 "," 8,866 "
Tennessee," 8,656 ", -," 5,508 "," 5,074 "," 3,234 "," 2,761 "," 3,178 "," 28,412 "," 11,641 "," 1,973 "," 10,845 "," 8,280 "," 2,951 ", -," 6,337 "," 42,027 "," 70,439 "
Texas," 15,480 ", -," 20,388 "," 11,888 "," 13,242 "," 2,565 "," 5,462 "," 69,024 "," 39,732 "," 31,134 "," 37,109 "," 29,161 "," 18,359 ", -," 9,496 "," 164,992 "," 234,016 "
Utah," 3,166 ", -," 1,652 ", 895 , 895 , 279 ," 1,115 "," 8,002 "," 6,105 ", 295 ," 3,117 "," 3,558 "," 1,423 ", 2 ," 4,083 "," 18,583 "," 26,585 "
Vermont," 1,265 ", -, 715 , 943 ," 1,190 ", 219 ," 1,068 "," 5,400 ", 379 , 63 , 434 , 344 , 215 , -, 412 ," 1,848 "," 7,248 "
Virginia," 9,342 ", 1 ," 6,382 "," 5,229 "," 4,967 ", 543 ," 3,402 "," 29,866 "," 14,913 "," 3,462 "," 13,738 "," 10,494 "," 4,143 ", -," 5,554 "," 52,304 "," 82,171 "
Washington," 4,606 "," 1,777 "," 2,322 "," 2,183 "," 3,922 "," 1,163 "," 1,202 "," 17,177 "," 10,884 "," 5,274 "," 8,929 "," 7,552 "," 2,973 ", -," 4,402 "," 40,014 "," 57,190 "
West Virginia," 2,787 ", -," 2,521 "," 1,589 "," 2,732 ", 358 ," 1,071 "," 11,059 "," 2,753 ", 70 ," 1,983 "," 2,107 ", 679 , -, 551 ," 8,144 "," 19,203 "
Wisconsin," 5,194 "," 1,638 "," 6,890 "," 5,167 "," 8,214 "," 1,129 "," 3,507 "," 31,739 "," 5,267 "," 4,528 "," 9,158 "," 5,040 "," 2,082 ", -," 1,606 "," 27,681 "," 59,420 "
Wyoming," 2,382 ", -," 1,680 ", 582 , 621 , 725 , 631 ," 6,621 ", 481 , 10 , 761 , 369 , 402 , 3 , 715 ," 2,742 "," 9,363 "
U.S. Total," 245,687 "," 19,603 "," 205,688 "," 150,990 "," 176,028 "," 53,348 "," 132,720 "," 984,065 "," 477,832 "," 220,742 "," 456,981 "," 374,590 "," 176,903 "," 3,540 "," 272,612 "," 1,983,200 "," 2,967,266 "
Puerto Rico, 462 , -, 179 , 280 , 139 , 143 , 96 ," 1,299 "," 5,033 "," 1,040 "," 3,600 "," 3,491 "," 2,180 ", -," 1,946 "," 17,290 "," 18,588 "
Grand Total," 246,150 "," 19,603 "," 205,867 "," 151,270 "," 176,166 "," 53,491 "," 132,816 "," 985,364 "," 482,865 "," 221,782 "," 460,581 "," 378,081 "," 179,083 "," 3,540 "," 274,558 "," 2,000,490 "," 2,985,854 "
     1/  Travel for the rural minor collector and rural/urban local functional systems is estimated by the States based on a model or other,,,,,,,,,Highway Performance Monitoring System.,,,,,,,,
means and provided to the FHWA on a summary basis.  Travel for all other systems are estimated from State-provided data in  the,,,,,,,,,,,,,,,,,
