FUNCTIONAL  SYSTEM  TRAVEL - 2006  1/,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Oct-07,,,,,,,( MILLIONS ),,,,,,,,TABLE  VM-2
,RURAL,,,,,,,URBAN,,,,,,,
South Carolina,"7,570","3,655","5,201","5,820",300,"2,310","24,856","6,029",831,"7,581","5,353","3,467","2,082","25,343","50,199"
South Dakota,"1,968","1,662","1,024","1,440",124,510,"6,728",544,35,579,788,236,258,"2,440","9,168"
Tennessee,"9,095","5,539","5,178","3,041","2,827","3,223","28,903","11,207","1,794","11,369","8,510","3,000","5,813","41,693","70,596"
Texas,"18,122","21,423","15,296","19,109","3,408","7,043","84,401","36,921","26,420","38,241","27,278","16,182","8,813","153,855","238,256"
Utah,"3,234","1,513","1,030",961,289,"1,009","8,036","6,104",201,"3,133","2,993","1,456","4,041","17,928","25,964"
Vermont,"1,275",762,990,"1,368",232,"1,295","5,922",377,75,463,392,245,358,"1,910","7,832"
Virginia,"9,011","6,890","5,997","5,859",593,"3,181","31,531","15,059","3,629","11,787","9,899","4,100","5,090","49,564","81,095"
Washington,"4,534","4,058","1,883","3,826","1,073","1,157","16,531","10,896","5,305","8,897","7,303","3,184","4,401","39,986","56,517"
West Virginia,"3,233","2,638","1,679","3,082",375,"1,309","12,316","2,794",80,"1,935","2,045",885,830,"8,569","20,885"
Wisconsin,"5,182","8,387","5,231","4,476","1,240","3,613","28,129","5,207","4,094","8,894","5,044","1,580","6,450","31,269","59,398"
Wyoming,"2,489","1,580",600,678,633,726,"6,706",512,11,814,336,498,538,"2,709","9,415"
U.S. Total,"257,913","231,865","162,634","193,287","58,088","133,282","1,037,069","477,283","217,067","466,949","376,082","173,210","266,456","1,977,047","3,014,116"
Puerto Rico,413,258,278,146,141,96,"1,332","5,391","1,230","3,686","3,765","2,296","1,937","18,305","19,637"
Grand Total,"258,326","232,123","162,912","193,433","58,229","133,378","1,038,401","482,674","218,297","470,635","379,847","175,506","268,393","1,995,352","3,033,753"
"For footnotes, see Footnotes Pages.",,,,,,,,,,,,,,,
