FUNCTIONAL  SYSTEM  TRAVEL - 2008  1/,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Nov-09,,,,,,,( MILLIONS ),,,,,,,,TABLE  VM-2
,RURAL,,,,,,,URBAN,,,,,,,
South Carolina,"7,355","3,548","5,102","5,558",296,"2,329","24,188","6,044",835,"7,452","5,471","3,513","2,094","25,409","49,597"
South Dakota,"1,960","1,650","1,017","1,117",119,523,"6,386",610,38,602,840,234,276,"2,600","8,986"
Tennessee,"8,686","5,360","5,089","2,928","2,762","3,160","27,985","11,414","2,000","10,953","8,194","2,977","5,946","41,484","69,469"
Texas,"15,397","20,448","12,012","14,461","2,712","5,516","70,546","39,492","32,328","37,503","28,410","17,769","9,334","164,836","235,382"
Utah,"3,117","1,578",942,977,212,"1,016","7,842","5,852",313,"3,105","3,489","1,427","3,946","18,132","25,974"
Vermont,"1,216",702,910,"1,345",218,"1,046","5,437",371,72,439,363,235,395,"1,875","7,312"
Virginia,"8,764","6,318","5,501","5,617",584,"3,417","30,201","15,045","3,862","12,308","10,968","4,288","5,606","52,077","82,278"
Washington,"4,392","3,933","1,854","3,744","1,036","1,126","16,085","10,681","5,135","8,679","7,413","3,219","4,346","39,473","55,558"
West Virginia,"3,195","2,611","1,576","3,286",374,"1,071","12,113","3,094",81,"2,010","2,193",681,602,"8,661","20,774"
Wisconsin,"5,197","8,125","5,007","4,267","1,190","3,172","26,958","5,156","3,983","8,881","5,103","1,668","5,713","30,504","57,462"
Wyoming,"2,482","1,651",592,692,742,637,"6,796",463,11,771,347,515,544,"2,651","9,447"
U.S. Total,"243,290","222,298","151,975","186,139","55,019","131,697","990,418","476,091","222,624","462,569","377,033","175,389","269,385","1,983,091","2,973,509"
Puerto Rico,403,255,270,136,143,96,"1,303","5,294","1,209","3,535","3,641","2,268","1,946","17,893","19,196"
Grand Total,"243,693","222,553","152,245","186,275","55,162","131,793","991,721","481,385","223,833","466,104","380,674","177,657","271,331","2,000,984","2,992,705"
"For footnotes, see Footnotes Pages.",,,,,,,,,,,,,,,
