,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2014   (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2016,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 2,972,991 "," 3,352 "," 48,229 "," 51,581 "," 3,024,572 "," 78,096 "," 2,514 "," 80,610 "," 3,105,182 ",  -," 3,105,182 ","1,289,644 "," 4,314,216 ",3.3 ,," 80,610 "," 4,394,826 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,538,897 "," 1,709 "," 29,572 "," 31,281 "," 1,570,178 "," 137,152 "," 1,542 "," 138,694 "," 1,708,872 ",  -," 1,708,872 ","685,040 "," 2,255,218 ",4.4 ,," 138,694 "," 2,393,912 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,293,180 "," 1,499 "," 27,460 "," 28,959 "," 1,322,139 "," 25,776 "," 1,432 "," 27,208 "," 1,349,347 ",  -," 1,349,347 ","499,389 "," 1,821,528 ",3.8 ,," 27,208 "," 1,848,736 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,074,258 "," 2,523 "," 34,596 "," 37,119 "," 2,111,377 "," 40,403 "," 1,804 "," 42,207 "," 2,153,584 ",  -," 2,153,584 ","801,861 "," 2,913,238 ",3.4 ,," 42,207 "," 2,955,445 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,207,390 "," 2,615 "," 34,503 "," 37,118 "," 2,244,508 "," 69,794 "," 1,788 "," 71,582 "," 2,316,090 ", 29 ," 2,316,119 ","674,816 "," 2,919,324 ",0.9 ,," 71,582 "," 2,990,906 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 761,279 ", 773 ," 9,678 "," 10,451 "," 771,730 "," 19,227 ", 505 ," 19,732 "," 791,462 ",-," 791,462 ","180,943 "," 952,673 ",3.5 ,," 19,732 "," 972,405 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,684,519 "," 3,625 "," 27,308 "," 30,933 "," 2,715,452 "," 57,577 "," 1,424 "," 59,001 "," 2,774,453 "," 10,866 "," 2,785,319 ","520,116 "," 3,235,568 ",0.1 ,," 59,001 "," 3,294,569 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,669,839 "," 3,283 "," 34,791 "," 38,074 "," 2,707,913 "," 51,540 "," 1,814 "," 53,354 "," 2,761,267 ",  -," 2,761,267 ","417,000 "," 3,124,913 ",1.2 ,," 53,354 "," 3,178,267 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,378,937 "," 5,098 "," 64,214 "," 69,312 "," 4,448,249 "," 237,208 "," 3,348 "," 240,556 "," 4,688,805 ",  -," 4,688,805 ","926,313 "," 5,374,562 ",0.1 ,," 240,556 "," 5,615,118 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,435,485 "," 2,854 "," 43,620 "," 46,474 "," 2,481,959 "," 122,610 "," 2,274 "," 124,884 "," 2,606,843 ",  -," 2,606,843 ","673,560 "," 3,155,519 ",2.6 ,," 124,884 "," 3,280,403 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,659,065 "," 1,956 "," 25,694 "," 27,650 "," 1,686,715 "," 38,162 "," 1,340 "," 39,502 "," 1,726,217 ",  -," 1,726,217 ","573,402 "," 2,260,117 ",6.0 ,," 39,502 "," 2,299,619 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 3,076,499 "," 3,630 "," 46,105 "," 49,735 "," 3,126,234 "," 46,042 "," 2,404 "," 48,446 "," 3,174,680 ",  -," 3,174,680 ","1,003,190 "," 4,129,424 ",3.7 ,," 48,446 "," 4,177,870 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 500,594 ", 801 ," 10,172 "," 10,973 "," 511,567 "," 17,492 ", 530 ," 18,022 "," 529,589 ",  -," 529,589 ","270,918 "," 782,485 ",3.4 ,," 18,022 "," 800,507 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 859,740 "," 1,020 "," 18,013 "," 19,033 "," 878,773 "," 29,426 ", 939 ," 30,365 "," 909,138 ",  -," 909,138 ","442,447 "," 1,321,220 ",5.7 ,," 30,365 "," 1,351,585 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,087,946 "," 1,466 "," 13,827 "," 15,293 "," 1,103,239 "," 22,217 ", 721 ," 22,938 "," 1,126,177 ",  -," 1,126,177 ","301,283 "," 1,404,522 ",1.0 ,," 22,938 "," 1,427,460 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 691,016 ", 790 ," 9,260 "," 10,050 "," 701,066 "," 17,513 ", 480 ," 17,993 "," 719,059 ", 1 ," 719,060 ","97,516 "," 798,582 ",2.8 ,," 17,993 "," 816,575 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 4,028,525 "," 4,771 "," 49,529 "," 54,300 "," 4,082,825 "," 71,803 "," 2,582 "," 74,385 "," 4,157,210 ",  -," 4,157,210 ","821,055 "," 4,903,880 ",3.3 ,," 74,385 "," 4,978,265 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 941,608 "," 1,678 "," 16,572 "," 18,250 "," 959,858 "," 19,354 ", 864 ," 20,218 "," 980,076 ",  -," 980,076 ","530,367 "," 1,490,225 ",4.5 ,," 20,218 "," 1,510,443 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 5,402,088 "," 6,747 "," 102,157 "," 108,904 "," 5,510,992 "," 152,777 "," 5,326 "," 158,103 "," 5,669,095 ", 878 ," 5,669,973 ","1,383,410 "," 6,894,402 ",5.4 ,," 158,103 "," 7,052,505 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,266,046 "," 4,936 "," 56,002 "," 60,938 "," 4,326,984 "," 115,926 "," 2,920 "," 118,846 "," 4,445,830 ",  -," 4,445,830 ","1,029,810 "," 5,356,794 ",3.0 ,," 118,846 "," 5,475,640 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 456,538 ", 590 ," 8,219 "," 8,809 "," 465,347 "," 16,672 ", 428 ," 17,100 "," 482,447 ",  -," 482,447 ","419,455 "," 884,802 ",6.8 ,," 17,100 "," 901,902 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 4,913,501 "," 5,664 "," 79,602 "," 85,266 "," 4,998,767 "," 93,688 "," 4,150 "," 97,838 "," 5,096,605 ",  -," 5,096,605 ","1,558,782 "," 6,557,549 ",3.0 ,," 97,838 "," 6,655,387 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,935,642 "," 2,262 "," 32,597 "," 34,859 "," 1,970,501 "," 58,514 "," 1,699 "," 60,213 "," 2,030,714 ", 1 ," 2,030,715 ","877,727 "," 2,848,228 ",6.7 ,," 60,213 "," 2,908,441 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,459,942 "," 1,922 "," 25,932 "," 27,854 "," 1,487,796 "," 37,976 "," 1,352 "," 39,328 "," 1,527,124 ",  -," 1,527,124 ","527,830 "," 2,015,626 ",3.8 ,," 39,328 "," 2,054,954 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 4,862,165 "," 5,889 "," 72,797 "," 78,686 "," 4,940,851 "," 104,106 "," 3,795 "," 107,901 "," 5,048,752 ",  -," 5,048,752 ","1,591,890 "," 6,532,741 ",1.5 ,," 107,901 "," 6,640,642 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island  ," 357,714 ", 467 ," 7,993 "," 8,460 "," 366,174 "," 9,183 ", 417 ," 9,600 "," 375,774 "," 8,907 "," 384,681 ","73,474 "," 439,648 ",6.7 ,," 9,600 "," 449,248 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina  ," 2,613,200 "," 3,052 "," 28,215 "," 31,267 "," 2,644,467 "," 68,553 "," 1,471 "," 70,024 "," 2,714,491 ",  -," 2,714,491 ","683,321 "," 3,327,788 ",1.6 ,," 70,024 "," 3,397,812 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 444,250 ", 622 ," 9,510 "," 10,132 "," 454,382 "," 17,732 ", 496 ," 18,228 "," 472,610 ", 104 ," 472,714 ","230,563 "," 684,945 ",5.0 ,," 18,228 "," 703,173 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee," 3,177,752 "," 3,777 "," 44,307 "," 48,084 "," 3,225,836 "," 51,090 "," 2,310 "," 53,400 "," 3,279,236 ",  -," 3,279,236 ","929,240 "," 4,155,076 ",4.1 ,," 53,400 "," 4,208,476 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ," 13,083,117 "," 14,873 "," 156,726 "," 171,599 "," 13,254,716 "," 267,610 "," 8,171 "," 275,781 "," 13,530,497 ",  -," 13,530,497 ","5,295,548 "," 18,550,264 ",8.4 ,," 275,781 "," 18,826,045 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah," 1,092,209 "," 1,437 "," 20,571 "," 22,008 "," 1,114,217 "," 24,030 "," 1,072 "," 25,102 "," 1,139,319 ",  -," 1,139,319 ","455,006 "," 1,569,223 ",3.4 ,," 25,102 "," 1,594,325 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont," 307,554 ", 369 ," 5,520 "," 5,889 "," 313,443 "," 7,056 ", 288 ," 7,344 "," 320,787 ", 155 ," 320,942 ","58,354 "," 371,797 ",(0.1),," 7,344 "," 379,141 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia," 3,942,942 "," 5,373 "," 50,973 "," 56,346 "," 3,999,288 "," 74,871 "," 2,657 "," 77,528 "," 4,076,816 ",  -," 4,076,816 ","1,015,403 "," 5,014,691 ",3.9 ,," 77,528 "," 5,092,219 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington," 2,672,936 "," 3,605 "," 37,539 "," 41,144 "," 2,714,080 "," 76,709 "," 1,957 "," 78,666 "," 2,792,746 ",  -," 2,792,746 ","664,882 "," 3,378,962 ",1.9 ,," 78,666 "," 3,457,628 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia," 806,759 "," 1,110 "," 16,083 "," 17,193 "," 823,952 "," 11,212 ", 839 ," 12,051 "," 836,003 ",  -," 836,003 ","273,510 "," 1,097,462 ",3.4 ,," 12,051 "," 1,109,513 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin," 2,548,071 "," 2,724 "," 43,986 "," 46,710 "," 2,594,781 "," 66,813 "," 2,293 "," 69,106 "," 2,663,887 ",  -," 2,663,887 ","802,010 "," 3,396,791 ",8.8 ,," 69,106 "," 3,465,897 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming," 331,137 ", 514 ," 6,549 "," 7,063 "," 338,200 "," 22,123 ", 341 ," 22,464 "," 360,664 ",  -," 360,664 ","365,932 "," 704,132 ",3.5 ,," 22,464 "," 726,596 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Total," 134,315,383 "," 165,260 "," 1,987,504 "," 2,152,764 "," 136,468,147 "," 3,438,725 "," 103,606 "," 3,542,331 "," 140,010,478 "," 39,382 "," 140,049,860 "," 39,710,684 "," 176,178,831 ",3.6 ,," 3,542,331 "," 179,721,162 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total Use, 74.7 , 0.1 , 1.1 , 1.2 , 75.9 , 1.9 , 0.1 , 2.0 , 77.9 , 0.0 , 77.9 , 22.1 , 98.0 ,,, 2.0 , 100.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"       (1)  This table is one of a series giving an analysis of motor-fuel consumption, based on reports from State motor-fuel tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"agencies.  Gasohol is included with gasoline.  In order to make the data uniform and complete, public use and nonhighway use",,,,,,,,,"       (2) Losses due to destruction, evaporation, and spillage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
were estimated by the Federal Highway Administration.  These estimates may not be comparable to data for prior years due to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revised estimation procedures.  The resulting volumes differ in many cases from the unadjusted data reported in table MF-2.  For,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"some States, data are not comparable to prior years due to changes in data analysis and/or improvements in reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures.  All data are subject to review and revision.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
