FUNCTIONAL  SYSTEM  TRAVEL - 2005  1/,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Oct-06,,,,,,,( MILLIONS ),,,,,,,,TABLE  VM-2
,RURAL,,,,,,,URBAN,,,,,,,
South Carolina,"7,441","3,637","5,321","5,543",301,"2,228","24,471","5,995",803,"7,570","5,183","3,424","1,988","24,963","49,434"
South Dakota,"1,934","1,661","1,023","1,040",125,509,"6,292",533,35,589,580,128,240,"2,105","8,397"
Tennessee,"9,074","5,334","5,605","3,126","2,900","3,181","29,220","11,095","1,810","11,431","8,490","2,967","5,801","41,594","70,814"
Texas,"17,872","21,224","15,117","19,191","3,430","6,774","83,608","37,108","26,241","37,478","26,470","15,444","8,821","151,562","235,170"
Utah,"3,157","1,478",991,923,304,638,"7,491","5,957",194,"2,989","3,402","1,499","3,626","17,667","25,158"
Vermont,"1,282",773,"1,019","1,351",227,"1,227","5,879",380,77,471,388,235,283,"1,834","7,713"
Virginia,"8,872","6,751","5,972","5,520",592,"3,150","30,857","14,962","3,583","11,998","9,815","4,135","4,987","49,480","80,337"
Washington,"4,476","4,013","1,897","3,613","1,069","1,134","16,202","10,938","5,323","8,567","6,983","3,141","4,322","39,274","55,476"
West Virginia,"3,395","2,815","1,844","3,495",457,"1,110","13,116","2,473",80,"1,783","1,725",763,583,"7,407","20,523"
Wisconsin,"5,176","8,446","5,265","4,550","1,242","3,822","28,501","5,174","3,792","8,987","5,123","1,593","6,847","31,516","60,017"
Wyoming,"2,472","1,560",583,663,695,618,"6,591",383,10,779,298,444,553,"2,467","9,058"
U.S. Total,"258,790","233,999","164,933","193,288","58,299","128,628","1,037,937","469,070","213,727","463,100","371,392","168,038","266,543","1,951,870","2,989,807"
Puerto Rico,414,241,271,134,139,95,"1,294","5,381","1,126","3,676","3,795","2,205","1,934","18,117","19,411"
Grand Total,"259,204","234,240","165,204","193,422","58,438","128,723","1,039,231","474,451","214,853","466,776","375,187","170,243","268,477","1,969,987","3,009,218"
"For footnotes, see Footnotes Pages.",,,,,,,,,,,,,,,
