FUNCTIONAL  SYSTEM  TRAVEL - 2007  1/,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Oct-08,,,,,,,( MILLIONS ),,,,,,,,TABLE  VM-2
,RURAL,,,,,,,URBAN,,,,,,,
South Carolina,"7,694","3,678","5,385","5,947",304,"2,331","25,339","6,176",852,"7,662","5,491","3,474","2,115","25,770","51,109"
South Dakota,"1,958","1,656","1,028","1,159",122,493,"6,416",606,39,596,860,223,265,"2,589","9,005"
Tennessee,"9,094","5,647","5,342","2,972","2,842","3,204","29,101","11,442","1,925","11,355","8,520","2,984","5,852","42,078","71,179"
Texas,"18,398","22,005","15,519","19,370","3,471","7,203","85,966","37,132","26,976","39,235","27,874","17,028","9,232","157,477","243,443"
Utah,"3,360","1,582",970,961,218,993,"8,084","6,133",210,"3,181","3,504","1,573","4,147","18,748","26,832"
Vermont,"1,266",752,986,"1,410",220,"1,097","5,731",375,73,458,397,243,417,"1,963","7,694"
Virginia,"9,076","6,634","5,630","5,793",585,"3,176","30,894","15,263","3,966","11,996","10,454","4,275","5,229","51,183","82,077"
Washington,"4,622","4,112","1,962","3,801","1,057","1,171","16,725","10,940","5,359","8,838","7,475","3,175","4,427","40,214","56,939"
West Virginia,"3,202","2,634","1,649","3,223",370,"1,080","12,158","2,835",76,"2,040","2,170",679,606,"8,406","20,564"
Wisconsin,"5,395","8,415","5,217","4,363","1,240","3,565","28,195","5,348","4,055","8,905","5,037","1,591","6,362","31,298","59,493"
Wyoming,"2,541","1,644",586,684,718,643,"6,816",455,9,741,337,481,527,"2,550","9,366"
U.S. Total,"256,438","232,054","161,411","193,333","58,181","133,886","1,035,303","483,315","220,335","469,681","378,114","174,661","268,413","1,994,519","3,029,822"
Puerto Rico,395,252,268,143,142,95,"1,295","5,309","1,193","3,544","3,675","2,248","1,941","17,910","19,205"
Grand Total,"256,833","232,306","161,679","193,476","58,323","133,981","1,036,598","488,624","221,528","473,225","381,789","176,909","270,354","2,012,429","3,049,027"
"For footnotes, see Footnotes Pages.",,,,,,,,,,,,,,,
