,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2011 (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REVISED JUNE 2013,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 4,490,988 "," 5,125 "," 88,486 "," 93,611 "," 4,584,599 "," 124,919 "," 4,613 "," 129,532 "," 4,714,131 "," 2,902 "," 4,717,033 "," 1,489,532 "," 6,074,131 ",(1.5),," 129,532 "," 6,203,663 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 2,879,319 "," 3,154 "," 48,229 "," 51,383 "," 2,930,702 "," 104,627 "," 2,514 "," 107,141 "," 3,037,843 ",  -," 3,037,843 "," 1,237,700 "," 4,168,402 ",(2.2),," 107,141 "," 4,275,543 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,538,980 "," 1,681 "," 29,572 "," 31,253 "," 1,570,233 "," 147,389 "," 1,542 "," 148,931 "," 1,719,164 ",  -," 1,719,164 "," 653,592 "," 2,223,825 ",1.6 ,," 148,931 "," 2,372,756 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,233,203 "," 1,407 "," 27,460 "," 28,867 "," 1,262,070 "," 33,602 "," 1,432 "," 35,034 "," 1,297,104 ", 8 ," 1,297,112 "," 468,474 "," 1,730,544 ",(2.4),," 35,034 "," 1,765,578 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,077,253 "," 2,346 "," 34,596 "," 36,942 "," 2,114,195 "," 50,300 "," 1,804 "," 52,104 "," 2,166,299 ", 10 ," 2,166,309 "," 773,104 "," 2,887,299 ",(2.3),," 52,104 "," 2,939,403 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,192,586 "," 2,462 "," 24,503 "," 26,965 "," 2,219,551 "," 84,039 "," 1,799 "," 85,838 "," 2,305,389 ",  -," 2,305,389 "," 756,451 "," 2,976,002 ",0.7 ,," 85,838 "," 3,061,840 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 643,604 ", 728 ," 9,678 "," 10,406 "," 654,010 "," 20,561 ", 505 ," 21,066 "," 675,076 "," 2,915 "," 677,991 "," 190,108 "," 844,118 ",0.4 ,," 21,066 "," 865,184 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,572,299 "," 3,135 "," 27,308 "," 30,443 "," 2,602,742 "," 57,572 "," 1,424 "," 58,996 "," 2,661,738 "," 7,039 "," 2,668,777 "," 507,018 "," 3,109,760 ",(1.2),," 58,996 "," 3,168,756 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,687,356 "," 3,031 "," 34,791 "," 37,822 "," 2,725,178 "," 61,784 "," 1,814 "," 63,598 "," 2,788,776 ",  -," 2,788,776 "," 414,607 "," 3,139,785 ",0.2 ,," 63,598 "," 3,203,383 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,289,876 "," 4,762 "," 64,214 "," 68,976 "," 4,358,852 "," 129,247 "," 3,349 "," 132,596 "," 4,491,448 ",  -," 4,491,448 "," 822,931 "," 5,181,783 ",(1.3),," 132,596 "," 5,314,379 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,314,165 "," 2,555 "," 43,620 "," 46,175 "," 2,360,340 "," 126,770 "," 2,274 "," 129,044 "," 2,489,384 ",  -," 2,489,384 "," 657,755 "," 3,018,095 ",(2.2),," 129,044 "," 3,147,139 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,527,391 "," 1,740 "," 25,694 "," 27,434 "," 1,554,825 "," 41,156 "," 1,340 "," 42,496 "," 1,597,321 ",  -," 1,597,321 "," 553,167 "," 2,107,992 ",(2.9),," 42,496 "," 2,150,488 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 2,998,548 "," 3,329 "," 46,105 "," 49,434 "," 3,047,982 "," 70,676 "," 2,404 "," 73,080 "," 3,121,062 ",  -," 3,121,062 "," 980,843 "," 4,028,825 ",(2.4),," 73,080 "," 4,101,905 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 466,710 ", 648 ," 10,172 "," 10,820 "," 477,530 "," 16,762 ", 530 ," 17,292 "," 494,822 ",  -," 494,822 "," 254,254 "," 731,784 ",0.7 ,," 17,292 "," 749,076 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 778,411 ", 904 ," 18,013 "," 18,917 "," 797,328 "," 35,545 ", 939 ," 36,484 "," 833,812 ",  -," 833,812 "," 424,670 "," 1,221,998 ",(1.9),," 36,484 "," 1,258,482 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,047,029 "," 1,273 "," 13,827 "," 15,100 "," 1,062,129 "," 21,422 ", 721 ," 22,143 "," 1,084,272 ",  -," 1,084,272 "," 297,765 "," 1,359,894 ",(1.6),," 22,143 "," 1,382,037 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 675,873 ", 738 ," 9,206 "," 9,944 "," 685,817 "," 19,437 ", 480 ," 19,917 "," 705,734 ", 7 ," 705,741 "," 92,714 "," 778,531 ",(1.8),," 19,917 "," 798,448 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 4,006,429 "," 4,530 "," 49,529 "," 54,059 "," 4,060,488 "," 85,968 "," 2,582 "," 88,550 "," 4,149,038 ",  -," 4,149,038 "," 800,447 "," 4,860,935 ",(0.7),," 88,550 "," 4,949,485 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 911,842 "," 1,330 "," 16,572 "," 17,902 "," 929,744 "," 21,530 ", 864 ," 22,394 "," 952,138 ",  -," 952,138 "," 513,615 "," 1,443,359 ",5.9 ,," 22,394 "," 1,465,753 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 5,281,153 "," 6,169 "," 102,157 "," 108,326 "," 5,389,479 "," 130,743 "," 5,326 "," 136,069 "," 5,525,548 "," 18,624 "," 5,544,172 "," 1,350,322 "," 6,739,801 ",(3.4),," 136,069 "," 6,875,870 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,181,223 "," 4,644 "," 56,002 "," 60,646 "," 4,241,869 "," 131,863 "," 2,920 "," 134,783 "," 4,376,652 ",  -," 4,376,652 "," 997,771 "," 5,239,640 ",(1.8),," 134,783 "," 5,374,423 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 386,132 ", 499 ," 8,219 "," 8,718 "," 394,850 "," 16,239 ", 428 ," 16,667 "," 411,517 ",  -," 411,517 "," 320,062 "," 714,912 ",17.2 ,," 16,667 "," 731,579 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 4,769,895 "," 5,264 "," 79,602 "," 84,866 "," 4,854,761 "," 120,296 "," 4,150 "," 124,446 "," 4,979,207 ", 8 ," 4,979,215 "," 1,472,441 "," 6,327,202 ",(1.2),," 124,446 "," 6,451,648 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,721,266 "," 1,990 "," 32,597 "," 34,587 "," 1,755,853 "," 67,182 "," 1,699 "," 68,881 "," 1,824,734 ", 48 ," 1,824,782 "," 790,149 "," 2,546,002 ",(3.3),," 68,881 "," 2,614,883 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,408,141 "," 1,685 "," 25,932 "," 27,617 "," 1,435,758 "," 52,413 "," 1,352 "," 53,765 "," 1,489,523 ",  -," 1,489,523 "," 519,214 "," 1,954,972 ",(2.3),," 53,765 "," 2,008,737 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 4,895,126 "," 5,505 "," 72,797 "," 78,302 "," 4,973,428 "," 119,877 "," 3,795 "," 123,672 "," 5,097,100 ",  -," 5,097,100 "," 1,541,545 "," 6,514,973 ",(0.1),," 123,672 "," 6,638,645 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island  ," 355,639 ", 425 ," 7,993 "," 8,418 "," 364,057 "," 10,191 ", 417 ," 10,608 "," 374,665 "," 1,451 "," 376,116 "," 61,909 "," 425,966 ",(4.5),," 10,608 "," 436,574 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina  ," 2,490,083 "," 2,781 "," 28,215 "," 30,996 "," 2,521,079 "," 72,438 "," 1,471 "," 73,909 "," 2,594,988 ",  -," 2,594,988 "," 727,235 "," 3,248,314 ",0.4 ,," 73,909 "," 3,322,223 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 420,233 ", 521 ," 9,510 "," 10,031 "," 430,264 "," 17,811 ", 496 ," 18,307 "," 448,571 ",  -," 448,571 "," 208,166 "," 638,430 ",0.7 ,," 18,307 "," 656,737 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee," 3,079,299 "," 3,465 "," 44,307 "," 47,772 "," 3,127,071 "," 64,397 "," 2,310 "," 66,707 "," 3,193,778 ",  -," 3,193,778 "," 895,240 "," 4,022,311 ",(0.4),," 66,707 "," 4,089,018 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ," 11,751,550 "," 13,357 "," 156,726 "," 170,083 "," 11,921,633 "," 315,157 "," 8,171 "," 323,328 "," 12,244,961 ",  -," 12,244,961 "," 4,208,400 "," 16,130,033 ",1.3 ,," 323,328 "," 16,453,361 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah," 1,032,024 "," 1,261 "," 20,571 "," 21,832 "," 1,053,856 "," 26,345 "," 1,072 "," 27,417 "," 1,081,273 ",  -," 1,081,273 "," 485,580 "," 1,539,436 ",8.0 ,," 27,417 "," 1,566,853 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont," 307,520 ", 351 ," 5,520 "," 5,871 "," 313,391 "," 7,750 ", 288 ," 8,038 "," 321,429 "," 1,325 "," 322,754 "," 58,774 "," 372,165 ",(2.2),," 8,038 "," 380,203 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia," 3,690,054 "," 4,579 "," 50,973 "," 55,552 "," 3,745,606 "," 75,067 "," 2,657 "," 77,724 "," 3,823,330 ",  -," 3,823,330 "," 946,661 "," 4,692,267 ",(5.5),," 77,724 "," 4,769,991 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington," 2,550,117 "," 3,132 "," 37,539 "," 40,671 "," 2,590,788 "," 82,590 "," 1,957 "," 84,547 "," 2,675,335 "," 22,197 "," 2,697,532 "," 619,106 "," 3,209,894 ",(0.4),," 84,547 "," 3,294,441 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia," 791,956 ", 923 ," 16,083 "," 17,006 "," 808,962 "," 14,329 ", 839 ," 15,168 "," 824,130 ",  -," 824,130 "," 283,645 "," 1,092,607 ",(3.5),," 15,168 "," 1,107,775 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin," 2,385,203 "," 2,615 "," 43,986 "," 46,601 "," 2,431,804 "," 78,544 "," 2,293 "," 80,837 "," 2,512,641 ",  -," 2,512,641 "," 695,491 "," 3,127,295 ",(2.9),," 80,837 "," 3,208,132 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming," 308,043 ", 414 ," 6,549 "," 6,963 "," 315,006 "," 27,217 ", 341 ," 27,558 "," 342,564 ",  -," 342,564 "," 321,933 "," 636,939 ",(6.4),," 27,558 "," 664,497 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Total," 129,147,751 "," 149,266 "," 1,977,390 "," 2,126,656 "," 131,274,407 "," 3,767,319 "," 103,618 "," 3,870,937 "," 135,145,344 "," 59,131 "," 135,204,475 "," 37,177,874 "," 168,452,281 ",(1.1),," 3,870,937 "," 172,323,218 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total Use, 74.9 , 0.1 , 1.1 , 1.2 , 76.2 , 2.2 , 0.1 , 2.2 , 78.4 , 0.0 , 78.5 , 21.6 , 97.8 ,,, 2.2 , 100.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"       1/  This table is one of a series giving an analysis of motor-fuel consumption, based on reports from State motor-fuel tax",,,,,,,,,"       2/  Some States make a flat percentage allowance for losses in storage and handling, and others allow for actual losses not",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"agencies.  Gasohol is included with gasoline.  In order to make the data uniform and complete, public use and nonhighway use",,,,,,,,,"to exceed a specified percentage.  Still others permit distributors to claim stock losses in reconciliations of inventories, thus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
were estimated by the Federal Highway Administration.  These estimates may not be comparable to data for prior years due to,,,,,,,,,"exempting the lost volume from taxation.  Losses by destruction, where reported separately, are also included in this column. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revised estimation procedures.  The resulting volumes differ in many cases from the unadjusted data reported in table MF-2.  For,,,,,,,,,The maximum allowance used in the analysis to cover losses in storage and handling was one percent.  Because of accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"some States, data are not comparable to prior years due to changes in data analysis and/or improvements in reporting",,,,,,,,,"methods, losses can be reported as a net gain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures.  All data are subject to review and revision.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
