FUNCTIONAL  SYSTEM  TRAVEL - 2004  1/,,,,,,,,,,,,,,,
ANNUAL  VEHICLE - MILES,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
5-Oct,,,,,,,( MILLIONS ),,,,,,,,TABLE  VM-2
,RURAL,,,,,,,URBAN,,,,,,,
South Carolina,"9,413","4,958","7,038","6,479",761,"3,440","32,089","3,877",801,"5,368","3,991","2,102","1,323","17,462","49,551"
South Dakota,"1,976","1,657","1,003","1,309",130,522,"6,597",536, -,669,609,146,227,"2,187","8,784"
Tennessee,"8,981","5,495","5,648","3,304","2,997","3,185","29,610","10,841","1,769","11,633","8,454","2,952","5,684","41,333","70,943"
Texas,"17,610","20,506","14,379","18,826","3,334","7,432","82,087","35,571","25,126","36,789","26,394","15,530","9,511","148,921","231,008"
Utah,"3,078","1,423","1,001",948,294,576,"7,320","5,850",233,"2,836","3,201","1,812","3,444","17,376","24,696"
Vermont,"1,300",778,"1,014","1,333",233,"1,185","5,843",383,77,472,391,240,449,"2,012","7,855"
Virginia,"8,894","6,694","5,940","5,410",589,"3,071","30,598","14,781","3,534","11,454","9,729","3,820","4,961","48,279","78,877"
Washington,"4,506","4,040","1,896","3,590","1,069","1,137","16,238","10,839","5,249","8,713","7,081","3,215","4,338","39,435","55,673"
West Virginia,"4,113","3,162","2,137","3,791",459,"1,113","14,775","1,600",86,"1,366","1,471",419,585,"5,527","20,302"
Wisconsin,"5,248","8,366","5,420","4,376","1,135","3,707","28,252","5,422","3,850","8,912","5,718","1,544","6,701","32,147","60,399"
Wyoming,"2,500","1,577",562,630,698,613,"6,580",378,8,765,308,448,774,"2,681","9,261"
U.S. Total,"266,996","241,046","168,898","200,792","60,139","132,377","1,070,248","454,385","207,929","450,142","362,018","162,108","255,683","1,892,265","2,962,513"
Puerto Rico,399,245,270,138,139,97,"1,288","5,383","1,146","3,719","3,806","2,225","1,937","18,216","19,504"
Grand Total,"267,395","241,291","169,168","200,930","60,278","132,474","1,071,536","459,768","209,075","453,861","365,824","164,333","257,620","1,910,481","2,982,017"
"For footnotes, see Footnotes Pages.",,,,,,,,,,,,,,,
