,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2012   (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULY 2013,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 4,426,637 "," 5,118 "," 88,478 "," 93,596 "," 4,520,233 "," 122,736 "," 4,606 "," 127,342 "," 4,647,575 "," 1,633 "," 4,649,208 "," 1,425,227 "," 5,945,460 ",(2.1),," 127,342 "," 6,072,802 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 2,842,320 "," 3,177 "," 48,252 "," 51,429 "," 2,893,749 "," 91,270 "," 2,538 "," 93,808 "," 2,987,557 "," 30,193 "," 3,017,750 "," 1,261,204 "," 4,154,953 ",(0.3),," 93,808 "," 4,248,761 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,443,016 "," 1,695 "," 29,586 "," 31,281 "," 1,474,297 "," 160,378 "," 1,556 "," 161,934 "," 1,636,231 ",  -," 1,636,231 "," 658,411 "," 2,132,708 ",(4.1),," 161,934 "," 2,294,642 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,179,125 "," 1,423 "," 27,476 "," 28,899 "," 1,208,024 "," 38,595 "," 1,448 "," 40,043 "," 1,248,067 "," 12,621 "," 1,260,688 "," 475,258 "," 1,683,282 ",(2.7),," 40,043 "," 1,723,325 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,061,283 "," 2,343 "," 34,593 "," 36,936 "," 2,098,219 "," 47,717 "," 1,801 "," 49,518 "," 2,147,737 ",  -," 2,147,737 "," 767,628 "," 2,865,847 ",(0.7),," 49,518 "," 2,915,365 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,112,404 "," 2,482 "," 34,524 "," 37,006 "," 2,149,410 "," 74,198 "," 1,819 "," 76,017 "," 2,225,427 "," 22,479 "," 2,247,906 "," 675,030 "," 2,824,440 ",(5.1),," 76,017 "," 2,900,457 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 622,412 ", 728 ," 9,679 "," 10,407 "," 632,819 "," 22,274 ", 505 ," 22,779 "," 655,598 "," 2,615 "," 658,213 "," 189,575 "," 822,394 ",(2.6),," 22,779 "," 845,173 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,626,895 "," 3,129 "," 27,302 "," 30,431 "," 2,657,326 "," 52,987 "," 1,418 "," 54,405 "," 2,711,731 "," 10,049 "," 2,721,780 "," 509,605 "," 3,166,931 ",1.8 ,," 54,405 "," 3,221,336 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,689,006 "," 3,029 "," 34,789 "," 37,818 "," 2,726,824 "," 51,117 "," 1,811 "," 52,928 "," 2,779,752 ",  -," 2,779,752 "," 423,269 "," 3,150,093 ",0.3 ,," 52,928 "," 3,203,021 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,281,182 "," 4,741 "," 64,193 "," 68,934 "," 4,350,116 "," 106,796 "," 3,327 "," 110,123 "," 4,460,239 ",  -," 4,460,239 "," 840,560 "," 5,190,676 ",0.2 ,," 110,123 "," 5,300,799 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,383,352 "," 2,572 "," 43,637 "," 46,209 "," 2,429,561 "," 121,553 "," 2,291 "," 123,844 "," 2,553,405 "," 25,793 "," 2,579,198 "," 690,567 "," 3,120,128 ",3.4 ,," 123,844 "," 3,243,972 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,571,191 "," 1,757 "," 25,711 "," 27,468 "," 1,598,659 "," 40,695 "," 1,357 "," 42,052 "," 1,640,711 "," 16,573 "," 1,657,284 "," 578,538 "," 2,177,197 ",3.3 ,," 42,052 "," 2,219,249 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 2,961,959 "," 3,356 "," 46,132 "," 49,488 "," 3,011,447 "," 64,829 "," 2,431 "," 67,260 "," 3,078,707 "," 30,649 "," 3,109,356 "," 968,275 "," 3,979,722 ",(1.2),," 67,260 "," 4,046,982 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 477,000 ", 649 ," 10,173 "," 10,822 "," 487,822 "," 17,805 ", 531 ," 18,336 "," 506,158 ",  -," 506,158 "," 262,303 "," 750,125 ",2.5 ,," 18,336 "," 768,461 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 787,864 ", 904 ," 18,013 "," 18,917 "," 806,781 "," 36,517 ", 939 ," 37,456 "," 844,237 ",  -," 844,237 "," 420,809 "," 1,227,590 ",0.5 ,," 37,456 "," 1,265,046 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,049,054 "," 1,270 "," 13,824 "," 15,094 "," 1,064,148 "," 18,748 ", 718 ," 19,466 "," 1,083,614 ",  -," 1,083,614 "," 299,954 "," 1,364,102 ",0.3 ,," 19,466 "," 1,383,568 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 671,888 ", 737 ," 9,205 "," 9,942 "," 681,830 "," 17,652 ", 479 ," 18,131 "," 699,961 ", 3 ," 699,964 "," 92,157 "," 773,987 ",(0.6),," 18,131 "," 792,118 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 3,927,516 "," 4,522 "," 49,520 "," 54,042 "," 3,981,558 "," 74,548 "," 2,574 "," 77,122 "," 4,058,680 ",  -," 4,058,680 "," 786,804 "," 4,768,362 ",(1.9),," 77,122 "," 4,845,484 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 921,748 "," 1,327 "," 16,569 "," 17,896 "," 939,644 "," 21,181 ", 861 ," 22,042 "," 961,686 ",  -," 961,686 "," 513,198 "," 1,452,842 ",0.7 ,," 22,042 "," 1,474,884 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 5,163,443 "," 6,778 "," 102,144 "," 108,922 "," 5,272,365 "," 149,334 "," 5,314 "," 154,648 "," 5,427,013 "," (2,869)"," 5,424,144 "," 1,367,780 "," 6,640,145 ",(1.5),," 154,648 "," 6,794,793 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,045,391 "," 4,685 "," 56,042 "," 60,727 "," 4,106,118 "," 159,237 "," 2,960 "," 162,197 "," 4,268,315 "," 43,571 "," 4,311,886 "," 957,407 "," 5,063,525 ",(3.4),," 162,197 "," 5,225,722 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 410,832 ", 501 ," 8,221 "," 8,722 "," 419,554 "," 17,721 ", 431 ," 18,152 "," 437,706 "," 1,026 "," 438,732 "," 378,361 "," 797,915 ",11.6 ,," 18,152 "," 816,067 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 4,739,369 "," 5,284 "," 79,640 "," 84,924 "," 4,824,293 "," 101,410 "," 4,188 "," 105,598 "," 4,929,891 "," 49,415 "," 4,979,306 "," 1,466,077 "," 6,290,370 ",(0.6),," 105,598 "," 6,395,968 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,824,857 "," 1,987 "," 32,595 "," 34,582 "," 1,859,439 "," 63,347 "," 1,697 "," 65,044 "," 1,924,483 ", 3 ," 1,924,486 "," 816,781 "," 2,676,220 ",5.1 ,," 65,044 "," 2,741,264 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,395,811 "," 1,689 "," 25,936 "," 27,625 "," 1,423,436 "," 43,970 "," 1,356 "," 45,326 "," 1,468,762 ",  -," 1,468,762 "," 513,432 "," 1,936,868 ",(0.9),," 45,326 "," 1,982,194 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 4,818,056 "," 5,488 "," 72,780 "," 78,268 "," 4,896,324 "," 110,921 "," 3,778 "," 114,699 "," 5,011,023 "," 25,075 "," 5,036,098 "," 1,530,059 "," 6,426,383 ",(1.4),," 114,699 "," 6,541,082 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island  ," 346,077 ", 423 ," 7,991 "," 8,414 "," 354,491 "," 8,652 ", 415 ," 9,067 "," 363,558 "," 1,792 "," 365,350 "," 57,533 "," 412,024 ",(3.3),," 9,067 "," 421,091 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina  ," 2,544,070 "," 2,771 "," 28,205 "," 30,976 "," 2,575,046 "," 62,702 "," 1,461 "," 64,163 "," 2,639,209 ",  -," 2,639,209 "," 662,553 "," 3,237,599 ",(0.3),," 64,163 "," 3,301,762 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 428,483 ", 530 ," 9,519 "," 10,049 "," 438,532 "," 21,291 ", 505 ," 21,796 "," 460,328 "," 4,654 "," 464,982 "," 228,318 "," 666,850 ",4.5 ,," 21,796 "," 688,646 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee," 3,026,448 "," 3,491 "," 44,333 "," 47,824 "," 3,074,272 "," 58,899 "," 2,336 "," 61,235 "," 3,135,507 "," 31,671 "," 3,167,178 "," 882,947 "," 3,957,219 ",(1.6),," 61,235 "," 4,018,454 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ," 11,973,702 "," 13,367 "," 156,736 "," 170,103 "," 12,143,805 "," 292,492 "," 8,181 "," 300,673 "," 12,444,478 ",  -," 12,444,478 "," 4,437,817 "," 16,581,622 ",2.8 ,," 300,673 "," 16,882,295 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah," 1,014,627 "," 1,271 "," 20,581 "," 21,852 "," 1,036,479 "," 24,101 "," 1,082 "," 25,183 "," 1,061,662 "," 10,830 "," 1,072,492 "," 474,413 "," 1,510,892 ",(1.9),," 25,183 "," 1,536,075 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont," 301,130 ", 351 ," 5,520 "," 5,871 "," 307,001 "," 8,254 ", 288 ," 8,542 "," 315,543 "," 1,182 "," 316,725 "," 59,990 "," 366,991 ",(1.4),," 8,542 "," 375,533 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia," 3,807,576 "," 4,569 "," 50,963 "," 55,532 "," 3,863,108 "," 67,337 "," 2,647 "," 69,984 "," 3,933,092 ",  -," 3,933,092 "," 1,003,684 "," 4,866,792 ",3.7 ,," 69,984 "," 4,936,776 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington," 2,544,686 "," 3,130 "," 37,537 "," 40,667 "," 2,585,353 "," 76,061 "," 1,955 "," 78,016 "," 2,663,369 "," 21,798 "," 2,685,167 "," 615,876 "," 3,201,229 ",(0.3),," 78,016 "," 3,279,245 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia," 778,324 ", 921 ," 16,082 "," 17,003 "," 795,327 "," 12,852 ", 837 ," 13,689 "," 809,016 ",  -," 809,016 "," 294,786 "," 1,090,113 ",(0.2),," 13,689 "," 1,103,802 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin," 2,359,858 "," 2,636 "," 44,007 "," 46,643 "," 2,406,501 "," 72,971 "," 2,315 "," 75,286 "," 2,481,787 "," 25,069 "," 2,506,856 "," 754,158 "," 3,160,659 ",1.1 ,," 75,286 "," 3,235,945 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming," 327,038 ", 426 ," 6,562 "," 6,988 "," 334,026 "," 37,133 ", 354 ," 37,487 "," 371,513 ", (1)," 371,512 "," 363,484 "," 697,510 ",9.5 ,," 37,487 "," 734,997 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Total," 128,789,120 "," 150,215 "," 1,995,370 "," 2,145,585 "," 130,934,705 "," 3,542,857 "," 103,966 "," 3,646,823 "," 134,581,528 "," 417,272 "," 134,998,800 "," 37,414,653 "," 168,349,358 ",(0.1),," 3,646,823 "," 171,996,181 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total Use, 74.9 , 0.1 , 1.2 , 1.2 , 76.1 , 2.1 , 0.1 , 2.1 , 78.2 , 0.2 , 78.5 , 21.8 , 97.9 ,,, 2.1 , 100.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"       (1)  This table is one of a series giving an analysis of motor-fuel consumption, based on reports from State motor-fuel tax",,,,,,,,,"       (2)  Some States make a flat percentage allowance for losses in storage and handling, and others allow for actual losses not",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"agencies.  Gasohol is included with gasoline.  In order to make the data uniform and complete, public use and nonhighway use",,,,,,,,,"to exceed a specified percentage.  Still others permit distributors to claim stock losses in reconciliations of inventories, thus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
were estimated by the Federal Highway Administration.  These estimates may not be comparable to data for prior years due to,,,,,,,,,"exempting the lost volume from taxation.  Losses by destruction, where reported separately, are also included in this column. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revised estimation procedures.  The resulting volumes differ in many cases from the unadjusted data reported in table MF-2.  For,,,,,,,,,The maximum allowance used in the analysis to cover losses in storage and handling was one percent.  Because of accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"some States, data are not comparable to prior years due to changes in data analysis and/or improvements in reporting",,,,,,,,,"methods, losses can be reported as a net gain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures.  All data are subject to review and revision.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
