,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2013   (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOVEMBER 2014,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 4,409,973 "," 5,038 "," 89,363 "," 94,401 "," 4,504,374 "," 119,303 "," 4,698 "," 124,001 "," 4,628,375 "," 11,607 "," 4,639,982 "," 1,489,724 "," 5,994,098 ",0.8 ,," 124,001 "," 6,118,099 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 2,854,409 "," 3,130 "," 48,735 "," 51,865 "," 2,906,274 "," 99,816 "," 2,589 "," 102,405 "," 3,008,679 "," 30,410 "," 3,039,089 "," 1,239,805 "," 4,146,079 ",(0.2),," 102,405 "," 4,248,484 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,464,269 "," 1,596 "," 29,882 "," 31,478 "," 1,495,747 "," 146,094 "," 1,587 "," 147,681 "," 1,643,428 ",  -," 1,643,428 "," 664,836 "," 2,160,583 ",1.3 ,," 147,681 "," 2,308,264 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,224,880 "," 1,360 "," 27,751 "," 29,111 "," 1,253,991 "," 29,354 "," 1,477 "," 30,831 "," 1,284,822 "," 12,997 "," 1,297,819 "," 487,991 "," 1,741,982 ",0.8 ,," 30,831 "," 1,772,813 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,036,933 "," 2,320 "," 34,939 "," 37,259 "," 2,074,192 "," 47,116 "," 1,837 "," 48,953 "," 2,123,145 ", 7 ," 2,123,152 "," 741,938 "," 2,816,130 ",(1.7),," 48,953 "," 2,865,083 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,154,305 "," 2,391 "," 34,869 "," 37,260 "," 2,191,565 "," 85,566 "," 1,856 "," 87,422 "," 2,278,987 "," 23,020 "," 2,302,007 "," 680,070 "," 2,871,635 ",1.7 ,," 87,422 "," 2,959,057 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 705,426 ", 703 ," 9,775 "," 10,478 "," 715,904 "," 20,403 ", 515 ," 20,918 "," 736,822 "," 2,851 "," 739,673 "," 201,273 "," 917,177 ",11.5 ,," 20,918 "," 938,095 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,713,893 "," 3,161 "," 27,575 "," 30,736 "," 2,744,629 "," 56,421 "," 1,446 "," 57,867 "," 2,802,496 "," 12,579 "," 2,815,075 "," 487,783 "," 3,232,412 ",2.1 ,," 57,867 "," 3,290,279 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,644,056 "," 3,010 "," 35,136 "," 38,146 "," 2,682,202 "," 58,214 "," 1,848 "," 60,062 "," 2,742,264 ",  -," 2,742,264 "," 503,686 "," 3,185,888 ",1.1 ,," 60,062 "," 3,245,950 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,386,346 "," 4,735 "," 64,835 "," 69,570 "," 4,455,916 "," 121,555 "," 3,393 "," 124,948 "," 4,580,864 ",  -," 4,580,864 "," 910,769 "," 5,366,685 ",3.4 ,," 124,948 "," 5,491,633 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,342,716 "," 2,646 "," 44,073 "," 46,719 "," 2,389,435 "," 128,073 "," 2,337 "," 130,410 "," 2,519,845 "," 25,457 "," 2,545,302 "," 662,062 "," 3,051,497 ",(2.2),," 130,410 "," 3,181,907 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,537,239 "," 1,789 "," 25,968 "," 27,757 "," 1,564,996 "," 44,896 "," 1,384 "," 46,280 "," 1,611,276 "," 16,276 "," 1,627,552 "," 550,896 "," 2,115,892 ",(2.8),," 46,280 "," 2,162,172 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 2,943,381 "," 3,337 "," 46,594 "," 49,931 "," 2,993,312 "," 52,396 "," 2,480 "," 54,876 "," 3,048,188 "," 30,265 "," 3,078,453 "," 959,962 "," 3,953,274 ",(0.7),," 54,876 "," 4,008,150 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 481,077 ", 651 ," 10,275 "," 10,926 "," 492,003 "," 18,751 ", 542 ," 19,293 "," 511,296 ",  -," 511,296 "," 264,682 "," 756,685 ",0.9 ,," 19,293 "," 775,978 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 801,482 ", 918 ," 18,193 "," 19,111 "," 820,593 "," 31,071 ", 958 ," 32,029 "," 852,622 ",  -," 852,622 "," 429,748 "," 1,250,341 ",1.9 ,," 32,029 "," 1,282,370 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,060,480 "," 1,274 "," 13,962 "," 15,236 "," 1,075,716 "," 20,465 ", 732 ," 21,197 "," 1,096,913 ",  -," 1,096,913 "," 317,521 "," 1,393,237 ",2.1 ,," 21,197 "," 1,414,434 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 674,824 ", 740 ," 9,297 "," 10,037 "," 684,861 "," 18,837 ", 488 ," 19,325 "," 704,186 ", 1 ," 704,187 "," 92,287 "," 777,148 ",0.4 ,," 19,325 "," 796,473 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 3,828,849 "," 4,376 "," 50,015 "," 54,391 "," 3,883,240 "," 80,142 "," 2,625 "," 82,767 "," 3,966,007 ",  -," 3,966,007 "," 789,819 "," 4,673,059 ",(2.2),," 82,767 "," 4,755,826 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 900,949 "," 1,327 "," 16,735 "," 18,062 "," 919,011 "," 21,363 ", 878 ," 22,241 "," 941,252 ",  -," 941,252 "," 506,568 "," 1,425,579 ",(1.9),," 22,241 "," 1,447,820 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 5,079,422 "," 6,035 "," 103,166 "," 109,201 "," 5,188,623 "," 155,401 "," 5,420 "," 160,821 "," 5,349,444 "," 9,432 "," 5,358,876 "," 1,351,193 "," 6,539,816 ",(1.5),," 160,821 "," 6,700,637 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,116,693 "," 4,536 "," 56,603 "," 61,139 "," 4,177,832 "," 128,038 "," 3,019 "," 131,057 "," 4,308,889 "," 39,872 "," 4,348,761 "," 983,484 "," 5,161,316 ",1.9 ,," 131,057 "," 5,292,373 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 423,792 ", 509 ," 8,303 "," 8,812 "," 432,604 "," 17,116 ", 439 ," 17,555 "," 450,159 "," 1,043 "," 451,202 "," 394,677 "," 827,281 ",3.7 ,," 17,555 "," 844,836 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 4,729,704 "," 5,255 "," 80,436 "," 85,691 "," 4,815,395 "," 114,884 "," 4,272 "," 119,156 "," 4,934,551 "," 49,586 "," 4,984,137 "," 1,503,718 "," 6,319,113 ",0.5 ,," 119,156 "," 6,438,269 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,763,231 "," 2,070 "," 32,920 "," 34,990 "," 1,798,221 "," 70,667 "," 1,731 "," 72,398 "," 1,870,619 ", 9 ," 1,870,628 "," 871,121 "," 2,669,342 ",(0.3),," 72,398 "," 2,741,740 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,391,746 "," 1,682 "," 26,195 "," 27,877 "," 1,419,623 "," 53,941 "," 1,383 "," 55,324 "," 1,474,947 ",  -," 1,474,947 "," 522,774 "," 1,942,397 ",0.3 ,," 55,324 "," 1,997,721 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 4,789,058 "," 5,412 "," 73,507 "," 78,919 "," 4,867,977 "," 122,246 "," 3,854 "," 126,100 "," 4,994,077 "," 24,994 "," 5,019,071 "," 1,548,170 "," 6,416,147 ",(0.2),," 126,100 "," 6,542,247 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island  ," 343,784 ", 410 ," 8,071 "," 8,481 "," 352,265 "," 9,505 ", 423 ," 9,928 "," 362,193 "," 6,499 "," 368,692 "," 59,817 "," 412,082 ",0.0 ,," 9,928 "," 422,010 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina  ," 2,569,621 "," 2,822 "," 24,487 "," 27,309 "," 2,596,930 "," 66,355 "," 1,490 "," 67,845 "," 2,664,775 ",  -," 2,664,775 "," 768,986 "," 3,365,916 ",4.0 ,," 67,845 "," 3,433,761 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 414,816 ", 534 ," 9,614 "," 10,148 "," 424,964 "," 17,824 ", 515 ," 18,339 "," 443,303 "," 9,155 "," 452,458 "," 218,075 "," 643,039 ",(3.6),," 18,339 "," 661,378 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee," 3,026,353 "," 3,434 "," 44,777 "," 48,211 "," 3,074,564 "," 63,881 "," 2,383 "," 66,264 "," 3,140,828 "," 31,726 "," 3,172,554 "," 885,570 "," 3,960,134 ",0.1 ,," 66,264 "," 4,026,398 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ," 12,151,135 "," 13,557 "," 158,303 "," 171,860 "," 12,322,995 "," 343,364 "," 8,344 "," 351,708 "," 12,674,703 ",  -," 12,674,703 "," 4,741,110 "," 17,064,105 ",2.9 ,," 351,708 "," 17,415,813 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah," 1,035,630 "," 1,243 "," 20,787 "," 22,030 "," 1,057,660 "," 26,682 "," 1,104 "," 27,786 "," 1,085,446 "," 11,076 "," 1,096,522 "," 478,575 "," 1,536,235 ",1.7 ,," 27,786 "," 1,564,021 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont," 303,417 ", 334 ," 5,576 "," 5,910 "," 309,327 "," 7,342 ", 294 ," 7,636 "," 316,963 "," 1,441 "," 318,404 "," 59,999 "," 369,326 ",0.6 ,," 7,636 "," 376,962 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia," 3,765,086 "," 4,664 "," 51,472 "," 56,136 "," 3,821,222 "," 73,386 "," 2,700 "," 76,086 "," 3,897,308 ",  -," 3,897,308 "," 1,004,678 "," 4,825,900 ",(0.8),," 76,086 "," 4,901,986 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington," 2,583,630 "," 3,114 "," 37,913 "," 41,027 "," 2,624,657 "," 86,581 "," 1,994 "," 88,575 "," 2,713,232 "," 27,359 "," 2,740,591 "," 656,084 "," 3,280,741 ",2.5 ,," 88,575 "," 3,369,316 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia," 757,434 "," 1,000 "," 16,243 "," 17,243 "," 774,677 "," 13,767 ", 854 ," 14,621 "," 789,298 ",  -," 789,298 "," 287,130 "," 1,061,807 ",(2.6),," 14,621 "," 1,076,428 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin," 2,322,510 "," 2,522 "," 44,447 "," 46,969 "," 2,369,479 "," 74,872 "," 2,361 "," 77,233 "," 2,446,712 "," 24,714 "," 2,471,426 "," 728,305 "," 3,097,784 ",(2.0),," 77,233 "," 3,175,017 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming," 327,356 ", 430 ," 6,628 "," 7,058 "," 334,414 "," 29,717 ", 361 ," 30,078 "," 364,492 ",  -," 364,492 "," 368,783 "," 703,197 ",0.8 ,," 30,078 "," 733,275 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Total," 126,664,549 "," 148,667 "," 2,004,817 "," 2,153,484 "," 131,298,651 "," 3,736,353 "," 106,043 "," 3,842,396 "," 135,141,047 "," 454,192 "," 135,595,239 "," 38,352,305 "," 169,650,956 ",0.7 ,," 3,842,396 "," 173,493,352 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total Use, 73.0 , 0.1 , 1.2 , 1.2 , 75.7 , 2.2 , 0.1 , 2.2 , 77.9 , 0.3 , 78.2 , 22.1 , 97.8 ,,, 2.2 , 100.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"       (1)  This table is one of a series giving an analysis of motor-fuel consumption, based on reports from State motor-fuel tax",,,,,,,,,"       (2)  Some States make a flat percentage allowance for losses in storage and handling, and others allow for actual losses not",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"agencies.  Gasohol is included with gasoline.  In order to make the data uniform and complete, public use and nonhighway use",,,,,,,,,"to exceed a specified percentage.  Still others permit distributors to claim stock losses in reconciliations of inventories, thus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
were estimated by the Federal Highway Administration.  These estimates may not be comparable to data for prior years due to,,,,,,,,,"exempting the lost volume from taxation.  Losses by destruction, where reported separately, are also included in this column. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revised estimation procedures.  The resulting volumes differ in many cases from the unadjusted data reported in table MF-2.  For,,,,,,,,,The maximum allowance used in the analysis to cover losses in storage and handling was one percent.  Because of accounting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"some States, data are not comparable to prior years due to changes in data analysis and/or improvements in reporting",,,,,,,,,"methods, losses can be reported as a net gain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures.  All data are subject to review and revision.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
