,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTOR-FUEL USE - 2015   (1),,,,,,,,,,,,,,,,,,"(this part only used for calucation, not actual final U9:U63)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUNE 2017,,,,,,,                      (THOUSANDS OF GALLONS),,,,,,,,,,TABLE MF-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COMBINED  GASOLINE AND GASOHOL,,,,,,,,,,,SPECIAL FUEL,SUMMARY OF TOTAL USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut," 1,371,821 "," 2,103 "," 31,946 "," 34,049 "," 1,405,870 "," 76,060 "," 1,667 "," 77,727 "," 1,483,597 "," (3,753)"," 1,479,844 "," 274,012 "," 1,679,882 ",(0.6),," 77,727 "," 1,757,609 ",Connecticut," 1,690,096 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware," 429,556 ", 609 ," 4,122 "," 4,731 "," 434,287 "," 35,114 ", 180 ," 35,294 "," 469,581 "," 13,416 "," 482,997 "," 65,358 "," 499,645 ",3.7 ,," 35,294 "," 534,939 ",Delaware," 481,839 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dist. of Col.," 97,872 "," 3,529 "," 5,289 "," 8,818 "," 106,690 "," 6,958 ", 236 ," 7,194 "," 113,884 ", 3 ," 113,887 "," 15,554 "," 122,244 ",(2.5),," 7,194 "," 129,438 ",Dist. of Col.," 125,395 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida," 7,868,932 "," 11,977 "," 156,791 "," 168,768 "," 8,037,700 "," 756,458 "," 7,447 "," 763,905 "," 8,801,605 ",  -," 8,801,605 "," 1,556,161 "," 9,593,861 ",(1.0),," 763,905 "," 10,357,766 ",Florida," 9,690,277 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia," 4,642,605 "," 6,573 "," 60,770 "," 67,343 "," 4,709,948 "," 245,009 "," 3,171 "," 248,180 "," 4,958,128 ",  -," 4,958,128 "," 1,403,133 "," 6,113,081 ",3.2 ,," 248,180 "," 6,361,261 ",Georgia," 5,921,491 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii," 421,254 "," 2,438 "," 10,074 "," 12,512 "," 433,766 "," 31,782 ", 528 ," 32,310 "," 466,076 ",  -," 466,076 "," 53,117 "," 486,883 ",(3.3),," 32,310 "," 519,193 ",Hawaii," 503,275 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho," 683,896 "," 2,324 "," 2,036 "," 4,360 "," 688,256 "," 76,798 ", 107 ," 76,905 "," 765,161 ",  -," 765,161 "," 287,014 "," 975,270 ",0.6 ,," 76,905 "," 1,052,175 ",Idaho," 969,722 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois," 4,420,787 "," 6,877 "," 72,480 "," 79,357 "," 4,500,144 "," 254,727 "," 3,784 "," 258,511 "," 4,758,655 "," 7,563 "," 4,766,218 "," 1,571,813 "," 6,071,957 ",(1.4),," 258,511 "," 6,330,468 ",Illinois," 6,156,587 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana," 2,992,840 "," 3,207 "," 3,274 "," 6,481 "," 2,999,321 "," 155,693 ", 172 ," 155,865 "," 3,155,186 ",  -," 3,155,186 "," 1,282,887 "," 4,282,208 ",(0.7),," 155,865 "," 4,438,073 ",Indiana," 4,314,216 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa," 1,462,266 "," 1,821 "," 22,213 "," 24,034 "," 1,486,300 "," 177,687 "," 1,164 "," 178,851 "," 1,665,151 ", 8 ," 1,665,159 "," 673,105 "," 2,159,405 ",(4.2),," 178,851 "," 2,338,256 ",Iowa," 2,255,218 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kansas," 1,187,799 "," 1,969 "," 17,455 "," 19,424 "," 1,207,223 "," 89,248 ", 916 ," 90,164 "," 1,297,387 ", 13 ," 1,297,400 "," 514,386 "," 1,721,609 ",(5.5),," 90,164 "," 1,811,773 ",Kansas," 1,821,528 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky," 2,041,434 "," 2,523 "," 23,063 "," 25,586 "," 2,067,020 "," 116,522 "," 1,204 "," 117,726 "," 2,184,746 ",  -," 2,184,746 "," 772,711 "," 2,839,731 ",(2.5),," 117,726 "," 2,957,457 ",Kentucky," 2,913,238 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana," 2,154,507 "," 2,844 "," 44,787 "," 47,631 "," 2,202,138 "," 159,171 "," 2,538 "," 161,709 "," 2,363,847 ",  -," 2,363,847 "," 726,422 "," 2,928,560 ",0.3 ,," 161,709 "," 3,090,269 ",Louisiana," 2,919,324 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine," 716,955 ", 924 ," 6,794 "," 7,718 "," 724,673 "," 62,448 ", 355 ," 62,803 "," 787,476 ",-," 787,476 "," 192,695 "," 917,368 ",(3.7),," 62,803 "," 980,171 ",Maine," 952,673 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland," 2,673,498 "," 5,966 "," 32,302 "," 38,268 "," 2,711,766 "," 129,150 "," 1,685 "," 130,835 "," 2,842,601 "," 20,066 "," 2,862,667 "," 536,130 "," 3,247,896 ",0.4 ,," 130,835 "," 3,378,731 ",Maryland," 3,235,568 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts  ," 2,636,128 "," 3,818 "," 29,223 "," 33,041 "," 2,669,169 "," 126,368 "," 1,526 "," 127,894 "," 2,797,063 ",  -," 2,797,063 "," 442,132 "," 3,111,301 ",(0.4),," 127,894 "," 3,239,195 ",Massachusetts  ," 3,124,913 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan," 4,307,435 "," 5,207 "," 40,433 "," 45,640 "," 4,353,075 "," 342,206 "," 2,107 "," 344,313 "," 4,697,388 ",  -," 4,697,388 "," 955,376 "," 5,308,451 ",(1.2),," 344,313 "," 5,652,764 ",Michigan," 5,374,562 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota," 2,355,476 "," 3,874 "," 29,498 "," 33,372 "," 2,388,848 "," 238,746 "," 1,545 "," 240,291 "," 2,629,139 ",  -," 2,629,139 "," 667,655 "," 3,056,503 ",(3.1),," 240,291 "," 3,296,794 ",Minnesota," 3,155,519 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi," 1,631,406 "," 2,199 "," 8,111 "," 10,310 "," 1,641,716 "," 86,243 ", 426 ," 86,669 "," 1,728,385 ",  -," 1,728,385 "," 632,987 "," 2,274,703 ",0.6 ,," 86,669 "," 2,361,372 ",Mississippi," 2,260,117 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri," 2,956,416 "," 4,003 "," 25,198 "," 29,201 "," 2,985,617 "," 184,401 "," 1,322 "," 185,723 "," 3,171,340 ",  -," 3,171,340 "," 1,022,026 "," 4,007,643 ",(2.9),," 185,723 "," 4,193,366 ",Missouri," 4,129,424 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montana," 480,279 "," 2,136 ", 717 ," 2,853 "," 483,132 "," 56,813 ", 37 ," 56,850 "," 539,982 ",  -," 539,982 "," 268,546 "," 751,678 ",(3.9),," 56,850 "," 808,528 ",Montana," 782,485 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska," 802,503 "," 1,457 "," 18,567 "," 20,024 "," 822,527 "," 67,908 ", 970 ," 68,878 "," 891,405 ",  -," 891,405 "," 444,075 "," 1,266,602 ",(4.1),," 68,878 "," 1,335,480 ",Nebraska," 1,321,220 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada," 1,053,283 "," 2,690 "," 12,085 "," 14,775 "," 1,068,058 "," 85,278 ", 630 ," 85,908 "," 1,153,966 ",  -," 1,153,966 "," 310,562 "," 1,378,620 ",(1.8),," 85,908 "," 1,464,528 ",Nevada," 1,404,522 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Hampshire," 649,330 ", 707 ," 6,822 "," 7,529 "," 656,859 "," 58,874 ", 322 ," 59,196 "," 716,055 ", 1 ," 716,056 "," 101,522 "," 758,381 ",(5.0),," 59,196 "," 817,577 ",New Hampshire," 798,582 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey," 3,885,085 "," 5,521 "," 36,868 "," 42,389 "," 3,927,474 "," 186,289 "," 1,924 "," 188,213 "," 4,115,687 ",  -," 4,115,687 "," 834,465 "," 4,761,939 ",(2.9),," 188,213 "," 4,950,152 ",New Jersey," 4,903,880 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico," 897,015 "," 4,582 "," 11,968 "," 16,550 "," 913,565 "," 67,418 ", 624 ," 68,042 "," 981,607 ",  -," 981,607 "," 537,064 "," 1,450,629 ",(2.7),," 68,042 "," 1,518,671 ",New Mexico," 1,490,225 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York," 4,990,107 "," 9,024 "," 91,666 "," 100,690 "," 5,090,797 "," 381,339 "," 4,784 "," 386,123 "," 5,476,920 "," 13,794 "," 5,490,714 "," 1,443,339 "," 6,534,136 ",(5.2),," 386,123 "," 6,920,259 ",New York," 6,894,402 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Carolina," 4,244,625 "," 5,384 "," 48,066 "," 53,450 "," 4,298,075 "," 266,204 "," 2,059 "," 268,263 "," 4,566,338 ",  -," 4,566,338 "," 1,068,776 "," 5,366,851 ",0.2 ,," 268,263 "," 5,635,114 ",North Carolina," 5,356,794 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota," 426,691 "," 1,050 "," 6,514 "," 7,564 "," 434,255 "," 37,996 ", 341 ," 38,337 "," 472,592 ",  -," 472,592 "," 354,138 "," 788,393 ",(10.0),," 38,337 "," 826,730 ",North Dakota," 875,993 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio," 4,719,029 "," 6,020 "," 79,240 "," 85,260 "," 4,804,289 "," 291,405 "," 4,154 "," 295,559 "," 5,099,848 ",  -," 5,099,848 "," 1,586,290 "," 6,390,579 ",(2.5),," 295,559 "," 6,686,138 ",Ohio," 6,557,549 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma," 1,778,804 "," 2,638 "," 13,094 "," 15,732 "," 1,794,536 "," 161,077 ", 684 ," 161,761 "," 1,956,297 ", 17 ," 1,956,314 "," 864,089 "," 2,658,625 ",(6.7),," 161,761 "," 2,820,386 ",Oklahoma," 2,848,228 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon," 1,427,698 "," 3,510 "," 17,675 "," 21,185 "," 1,448,883 "," 106,540 ", 924 ," 107,464 "," 1,556,347 ",  -," 1,556,347 "," 548,509 "," 1,997,392 ",(0.9),," 107,464 "," 2,104,856 ",Oregon," 2,015,626 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania," 4,597,830 "," 6,520 "," 61,672 "," 68,192 "," 4,666,022 "," 266,259 "," 2,994 "," 269,253 "," 4,935,275 ",  -," 4,935,275 "," 1,548,916 "," 6,214,938 ",(4.9),," 269,253 "," 6,484,191 ",Pennsylvania," 6,532,741 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island  ," 349,650 ", 819 ," 9,062 "," 9,881 "," 359,531 "," 20,944 ", 443 ," 21,387 "," 380,918 "," 2,560 "," 383,478 "," 67,430 "," 426,961 ",(2.9),," 21,387 "," 448,348 ",Rhode Island  ," 439,648 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina  ," 2,575,307 "," 3,071 "," 53,610 "," 56,680 "," 2,631,987 "," 182,036 "," 2,884 "," 184,920 "," 2,816,907 ",  -," 2,816,907 "," 713,542 "," 3,345,529 ",0.5 ,," 184,920 "," 3,530,449 ",South Carolina  ," 3,327,788 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota," 431,658 "," 1,129 "," 12,674 "," 13,803 "," 445,461 "," 34,953 ", 667 ," 35,620 "," 481,081 ", 919 ," 482,000 "," 231,283 "," 676,744 ",(1.2),," 35,620 "," 712,364 ",South Dakota," 684,945 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee," 3,013,983 "," 4,587 "," 91,650 "," 96,237 "," 3,110,220 "," 192,791 "," 4,511 "," 197,302 "," 3,307,522 ",  -," 3,307,522 "," 979,997 "," 4,090,217 ",(1.6),," 197,302 "," 4,287,519 ",Tennessee," 4,155,076 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas ," 12,942,422 "," 16,678 "," 295,616 "," 312,294 "," 13,254,716 "," 609,069 "," 15,450 "," 624,519 "," 13,879,235 ",  -," 13,879,235 "," 5,214,849 "," 18,469,565 ",(0.4),," 624,519 "," 19,094,084 ",Texas ," 18,550,264 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utah," 1,090,231 "," 2,725 "," 6,329 "," 9,054 "," 1,099,285 "," 73,235 ", 332 ," 73,567 "," 1,172,852 ",  -," 1,172,852 "," 491,193 "," 1,590,478 ",1.4 ,," 73,567 "," 1,664,045 ",Utah," 1,569,223 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont," 287,330 ", 399 ," 4,471 "," 4,870 "," 292,200 "," 20,503 ", 234 ," 20,737 "," 312,937 ", 61 ," 312,998 "," 70,487 "," 362,687 ",(2.5),," 20,737 "," 383,424 ",Vermont," 371,797 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia," 3,741,681 "," 8,729 "," 65,552 "," 74,281 "," 3,815,962 "," 205,258 "," 3,419 "," 208,677 "," 4,024,639 ",  -," 4,024,639 "," 1,012,511 "," 4,828,473 ",(3.7),," 208,677 "," 5,037,150 ",Virginia," 5,014,691 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington," 2,616,538 "," 6,590 "," 36,742 "," 43,332 "," 2,659,870 "," 168,806 "," 1,613 "," 170,419 "," 2,830,289 ",  -," 2,830,289 "," 683,439 "," 3,343,309 ",(1.1),," 170,419 "," 3,513,728 ",Washington," 3,378,962 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia," 740,474 "," 1,276 "," 17,061 "," 18,337 "," 758,811 "," 52,648 ", 891 ," 53,539 "," 812,350 ",  -," 812,350 "," 316,995 "," 1,075,806 ",(2.0),," 53,539 "," 1,129,345 ",West Virginia," 1,097,462 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin," 2,341,067 "," 2,813 "," 63,366 "," 66,179 "," 2,407,246 "," 227,123 "," 3,322 "," 230,445 "," 2,637,691 ",  -," 2,637,691 "," 804,858 "," 3,212,104 ",(5.4),," 230,445 "," 3,442,549 ",Wisconsin," 3,396,791 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming," 312,509 "," 1,206 ", 381 ," 1,587 "," 314,096 "," 55,035 ", 19 ," 55,054 "," 369,150 ",  -," 369,150 "," 350,388 "," 664,484 ",(5.6),," 55,054 "," 719,538 ",Wyoming," 704,132 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
     Total," 129,956,499 "," 221,876 "," 2,172,294 "," 2,394,169 "," 132,350,668 "," 8,871,289 "," 111,657 "," 8,982,946 "," 141,333,614 "," 54,671 "," 141,388,285 "," 40,530,298 "," 172,880,966 ",(1.9),," 8,982,946 "," 181,863,912 ",," 176,170,022 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of," 134,271,350.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total Use, 71.5 , 0.1 , 1.2 , 1.3 , 72.8 , 4.9 , 0.1 , 4.9 , 77.7 , 0.0 , 77.7 , 22.3 , 95.1 ,,, 4.9 , 100.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"       (1)  This table is one of a series giving an analysis of motor-fuel consumption, based on reports from State motor-fuel tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"agencies.  Gasohol is included with gasoline.  In order to make the data uniform and complete, public use and nonhighway use",,,,,,,,,"       (2) Losses due to destruction, evaporation, and spillage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
were estimated by the Federal Highway Administration.  These estimates may not be comparable to data for prior years due to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revised estimation procedures.  The resulting volumes differ in many cases from the unadjusted data reported in table MF-2.  For,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"some States, data are not comparable to prior years due to changes in data analysis and/or improvements in reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
procedures.  All data are subject to review and revision.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highway Use," 132,520,795 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Highway Use," 3,793,689 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Fuel,"35,140,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
